Artist,Title,Album
Fugazi,Burning Too,13 Songs
Fugazi,Do You Like Me,Red Medicine
Fugazi,Epic Problem,The Argument
Fugazi,Five Corporations,End Hits
Fugazi,Full Disclosure,The Argument
Fugazi,Furniture,Furniture EP
Fugazi,Great Cop,In On The Killtaker
Fugazi,I'm So Tired,Instrument Soundtrack
Fugazi,Life And Limb,The Argument
Fugazi,Long Division,Steady Diet Of Nothing
Fugazi,Place Position,End Hits
Fugazi,Public Witness Program,In On The Killtaker
Fugazi,Smallpox Champion,In On The Killtaker
Fugazi,Suggestion,13 Songs
Fugazi,Turnover,Repeater
Fugazi,Waiting Room,13 Songs
"Furman, Ezra",Transition From Nowhere To Nowhere,Twelve Nudes
Future Islands,Seasons (Waiting On You),Singles
Future Of The Left,Arming Eritrea,Travels With Myself And Another
Future Of The Left,Donny Of The Decks,How To Stop Your Brain In An Accident
Future Of The Left,Suddenly It's A Folk Song,Curses
Futureheads,Decent Days & Nights,The Futureheads
Fuvk,Glasses,Time Series
G.B.H.,Sick Boy,City Baby Attacked By Rats
G.B.H.,Time Bomb,City Baby Attacked By Rats
G.L.O.S.S.,Outcast Stomp,Demo
Gang Green,Alcohol,Another Wasted Night
Gang Of Four,At Home He's A Tourist,Entertainment!
Gang Of Four,Damaged Goods,Entertainment!
Gang Of Four,I Found That Essence Rare,Entertainment!
Gang Of Four,Natural's Not In It,Entertainment!
Gang Of Four,Not Great Men,Entertainment!
Gang Of Four,To Hell With Poverty!,Another Day / Another Dollar
Gang Of Four,What We All Want,Solid Gold
"Gary, The",(Eyes In The) Tap Room,Logan
"Garza, Davd",Discoball World,This Euphoria
Generation X,Dancing With Myself,Perfect Hits: 1975 – 1981
Generation X,Ready Steady Go,Perfect Hits: 1975 – 1981
Generation X,Your Generation,Perfect Hits: 1975 – 1981
Generationals,Nobody Could Change Your Mind,Con Law
Germs,Lexicon Devil,M.I.A. - The Complete Anthology
Get Up Kids,Holiday,Something To Write Home About
Get Up Kids,Suffragette City (by David Bowie),Eudora
Get Up Kids,Ten Minutes,Something To Write Home About
Ghostland Observatory,Sad Sad City,Paparazzi Lightning
"Giant Dog, A",Creep,Pile
"Giant Dog, A",Sex & Drugs,Pile
Girls,Hellhole Ratrace,Album
Gits,Whirlwind,Seafish Louisville
Go Betty Go,C'mon,Worst Enemy
Go-Betweens,Old Mexico,Bright Yellow Bright Orange
Gogol Bordello,Start Wearing Purple,Gypsy Punks: Underdog World Strike
Gogol Bordello,"Think Locally, Fuck Globally",Gypsy Punks: Underdog World Strike
Gogol Bordello,Wonderlust King,Super Taranta!
Golden Boys,Older Than You,Dirty Fingernails
"Golightly, Holly",There's An End,Truly She Is None Other
Good Life,Lovers Need Lawyers,Album Of The Year
Good Riddance,Better,For God And Country
Gorilla Biscuits,New Direction,Start Today
Gossip,Jailbreak,That's Not What I Heard
Gossip,Love And Let Love,Music For Men
Gossip,No No No,Movement
Gossip,Standing In The Way Of Control,Standing In The Way Of Control
Gossip,Where The Girls Are,That's Not What I Heard
Grifters,Bummer,One Sock Missing
Grimes,Oblivion,Visions
Grinderman,Get It On,Grinderman
Grinderman,No Pussy Blues,Grinderman
Grizzly Bear,Two Weeks,Veckatimest
Guerilla Toss,Can I Get The Real Stuff,GT Ultra
Guided By Voices,A Salty Salute,Alien Lanes
Guided By Voices,Back To The Lake,Universal Truths And Cycles
Guided By Voices,Bulldog Skin,Mag Earwig!
Guided By Voices,Cut-Out Witch,Under The Bushes Under The Stars
Guided By Voices,Echos Myron,Bee Thousand
Guided By Voices,Everywhere With Helicopter,Universal Truths And Cycles
Guided By Voices,Game Of Pricks,Human Amusements At Hourly Rates
Guided By Voices,Glad Girls,Isolation Drills
Guided By Voices,Hot Freaks,Bee Thousand
Guided By Voices,I Am A Scientist,I Am A Scientist EP
Guided By Voices,I Am A Tree,Mag Earwhig!
Guided By Voices,If We Wait,Sunfish Holy Breakfast
Guided By Voices,Jane Of The Waking Universe,Mag Earwhig!
Guided By Voices,Motor Away,Human Amusements At Hourly Rates
Guided By Voices,My Kind Of Soldier,Earthquake Glue
Guided By Voices,My Valuable Hunting Knife,Alien Lanes
Guided By Voices,Pantherz,The Power Of Suck
Guided By Voices,Sheet Kickers,Under The Bushes Under The Stars
Guided By Voices,Surgical Focus,Do The Collapse
Guided By Voices,Teenage FBI,Do The Collapse
Guided By Voices,The Best Of Jill Hives,Human Amusements At Hourly Rates
Guided By Voices,The Brides Have Hit Glass,Isolation Drills
Guided By Voices,The Official Ironmen Rally Song,Under The Bushes Under The Stars
Guided By Voices,Tractor Rape Chain,Bee Thousand
Guided By Voices,Trust Them Now,Earth Man Blues
Gun Club,She's Like Heroin To Me,Fire Of Love
Handsome Family,Weightless Again,Through The Trees
Happy Mondays,24 Hour Party People,Squirrel & G-Man…
Happy Mondays,Bob's Yer Uncle,Pills N Thrills & Bellyaches
Har Mar Superstar,"Lady, You Shot Me",Bye Bye 17
Harriet,I Slept With All Your Mothers,Tell The Right Story
"Harvey, PJ",Dress,Dry
"Harvey, PJ",O Stella,Dry
"Harvey, PJ",One Line,"Stories From The City, Stories From The Sea"
"Harvey, PJ",Rid Of Me,Rid Of Me
"Harvey, PJ",Sheela-Na-Gig,Dry
"Harvey, PJ",You Said Something,"Stories From The City, Stories From The Sea"
Have A Nice Life,Bloodhail,Deathconsciousness
Head Wound City,I'm A Taxidermist - I Stuff Everything,Head Wound City
Headlights,Hi-Ya!,Kill Them With Kindness
Heartless Bastards,The Mountain,The Mountain
Heatmiser,Antonio Carlos Jobim,Cop And Speeder
Heavenly,It's You,Heavenly Vs. Satan
Heavenly,P.U.N.K. Girl,Atta Girl EP
Heavens To Betsy,Terrorist,Calculated
Hefner,The Hymn For The Cigarettes,The Fidelity Wars
Hefner,The Science Fiction,Boxing Hefner
Helium,Honeycomb,The Dirt Of Luck
Helium,Lady Of The Fire,The Magic City
Helium,Leon's Space Song,The Magic City
Helium,Pat's Trick,The Dirt Of Luck
Helium,Silver Strings,No Guitars
Helium,Superball,The Dirt Of Luck
"Hell, Richard & The Voidoids",Blank Generation,Blank Generation
"Hell, Richard & The Voidoids",Love Comes In Spurts,Blank Generation
Hinds,Riding Solo,The Prettiest Curse
Hold Steady,Certain Songs,Almost Killed Me
Hold Steady,Chips Ahoy!,Boys & Girls In America
Hold Steady,Constructive Summer,Stay Positive
Hold Steady,Hot Soft Light,Boys And Girls In America
Hold Steady,Massive Nights,Boys & Girls In America
Hold Steady,Sequestered In Memphis,Stay Positive
Hold Steady,Your Little Hoodrat Friend,Almost Killed Me
Hole,Jennifer's Body,Live Through This
Hole,Pretty On The Inside,Pretty On The Inside
Hop Along,How Simple,"Bark Your Head Off, Dog"
Hop Along,Tibetan Pop Stars,Get Disowned
HorrorPops,Walk Like A Zombie,Bring It On!
Hot Hot Heat,Bandages,Make Up The Breakdown
Hot Hot Heat,More For Show,Knock Knock Knock
Hot Hot Heat,This Town,Make Up The Breakdown
Hot Snakes,Ben Gurion,Suicide Invoice
Hot Snakes,LAX,Audit In Progress
Hot Snakes,Plenty For All,Audit in Progress
Hot Snakes,This Mystic Decade,Audit In Progress
Hot Water Music,Not For Anyone,Caution
Hot Water Music,Trusty Chords,Caution
Hotelier,Your Deep Rest,"Home, Like Noplace Is There"
House Of Love,I Don't Know Why I Love You,The House Of Love
Huggy Bear,Her Jazz,Taking the Rough With the Smooch
Huggy Bear,Pansy Twist,Taking the Rough With the Smooch
Hum,Firehead,Electra 2000
Hum,I'd Like Your Hair Long,You'd Prefer An Astronaut
Hum,Step Into You,Inlet
Hsker D,Books About UFOs,New Day Rising
Hsker D,Divide And Conquer,Flip Your Wig
Hsker D,Don't Want To Know If You Are Lonely,Candy Apple Grey
Hsker D,Hate Paper Doll,Flip Your Wig
Hsker D,I Apologize,New Day Rising
Hsker D,Makes No Sense At All,Flip Your Wig
Hsker D,Never Talking To You Again,Zen Arcade
"Hval, Jenny",Ashes To Ashes,The Practice Of Love
I Love You But I've Chosen Darkness,According To Plan,Fear Is On Our Side
Iceage,Ecstasy,You're Nothing
Idles,Grounds,Ultra Mono
Idles,Never Fight A Man With A Perm,Joy As An Act Of Resistance
Idles,Well Done,Brutalism
IfIHadAHiFi,The Theme From Sexy Results,Songs From Sexy Results: Cedar Block's Dig For The Higgs And How The Quest Was Won
Impossibles,Eightball,Anthology
Inspiral Carpets,Caravan,The Beast Inside
Inspiral Carpets,This Is How It Feels,Life
Interpol,Evil,Antics
Interpol,Leif Erikson,Turn On The Bright Lights
Interpol,NYC,Turn On The Bright Lights
Interpol,Obstacle 1,Turn On The Bright Lights
Interpol,PDA,Turn On The Bright Lights
Interpol,Rest My Chemistry,Our Love To Admire
Interpol,Slow Hands,Antics
J Church,My Favourite Place,My Favourite Place
"Jacklin, Julia",Pressure To Party,Crushing
Jam,Going Underground,Snap!
Jam,In The City,In The City
Jam,The Modern World,The Modern World
Japandroids,The House That Heaven Built,Celebration Rock
Japanese Breakfast,Be Sweet,Jubilee
Japanese Breakfast,Road Head,Soft Sounds From Another Planet
Jawbox,Savory,For Your Own Special Sweetheart
Jawbreaker,"Bad Scene, Everyone's Fault",Dear You
Jawbreaker,Boxcar,24 Hour Revenge Therapy
Jawbreaker,Chesterfield King,Bivouac
Jawbreaker,Do You Still Hate Me?,24 Hour Revenge Therapy
Jawbreaker,Donatello,Bivouac
Jawbreaker,Jinx Removing,24 Hour Revenge Therapy
Jawbreaker,Kiss The Bottle,Etc.
Jawbreaker,The Boat Dreams From On The Hill,24 Hour Revenge Therapy
Jawbreaker,Want,Unfun
JEFF The Brotherhood,In My Dreams,Wasted On The Dream
Jesus & Mary Chain,Head On,Automatic
Jesus & Mary Chain,Just Like Honey,Psychocandy
Jesus Lizard,Chrome,Bang
Jesus Lizard,Fly On The Wall,Down
Jesus Lizard,Gladiator,Bang
Jesus Lizard,If You Had Lips,Head
Jesus Lizard,Mouth Breather,Bang
Jesus Lizard,Wheelchair Epidemic (by The Dicks),Bang
Jets To Brazil,Chinatown,Orange Rhyming Dictionary
Jets To Brazil,Sweet Avenue,Orange Rhyming Dictionary
"Jett, Joan & the Blackhearts",Bad Reputation,Bad Reputation
Jim Carroll Band,People Who Died,Catholic Boy
Jimmy Eat World,Lucky Denver Mint,Clarity
Joanna Gruesome,Sugarcrush,Weird Sister
"Johnston, Daniel",Speeding Motorcycle,Yip Jump Music
"Johnston, Daniel",True Love Will Find You In The End,1990
Jonathan Fire*Eater,The Search For Cherry Red,Tremble Under Boom Lights
Joy Division,Dead Souls,Still
Joy Division,Disorder,Unknown Pleasures
Joy Division,Failures,An Ideal For Living
Joy Division,Insight,Complete BBC Recordings
Joy Division,Isolation,Closer
Joy Division,Leaders Of Men,Substance
Joy Division,Love Will Tear Us Apart,Complete BBC Recordings
Joy Division,New Dawn Fades,Unknown Pleasures
Joy Division,Transmission,Substance
Joy Division,Twenty Four Hours,Closer
Joy Division,Warsaw,Heart And Soul
Joyce Manor,Constant Headache,Joyce Manor
Juliana Hatfield Three,Spin The Bottle,Become What You Are
Julie Ruin,Girls Like Us,Run Fast
Julie Ruin,Radical Or Pro-Parental,Julie Ruin
Julie Ruin,Stay Monkey,Julie Ruin
June Of 44,Cut Your Face,Four Great Points
"Kellies, Las",Erase You (by ESG),Kellies
"Kellies, Las",Perro Rompebolas,Kellies
Kiltro,The Drunk,Creatures Of Habit
King Khan & BBQ Show,Waddlin' Around,King Khan & BBQ Show
"Kinsley, Sarah",The Giver,The Giver
Knapsack,Decorate The Spine,Day Three Of My New Life
L7,Can I Run,Hungry For Stink
L7,Pretend We're Dead,Bricks Are Heavy
L7,Shitlist,Bricks Are Heavy
L7,Wargasm,Bricks Are Heavy
La Dispute,Such Small Hands,Somewhere At The Bottom Of The River Between Vega And Altair
La Luz,Sure As Spring,It's Alive
La's,There She Goes,The La's
Ladytron,Destroy Everything You Touch,Witching Hour
Lagwagon,Sick,Hoss
Lagwagon,Violins,Hoss
"Lahey, Alex",Every Day's The Weekend,I Love You Like A Brother
Lambchop,Your Fucking Sunny Day,Thriller
Lambrini Girls,Cuntology 101,Who Let The Dogs Out
Lawrence Arms,The Slowest Drink At The Saddest Bar On The Snowiest Day In The Greatest City,Buttsweat And Tears
LCD Soundsystem,All My Friends,Sound Of Silver
LCD Soundsystem,Daft Punk Is Playing At My House,LCD Soundsystem
LCD Soundsystem,Someone Great,Sound Of Silver
LCD Soundsystem,Too Much Love,LCD Soundsystem
Le Tigre,Deceptacon,Le Tigre
Le Tigre,Eau D'Bedroom Dancing,Le Tigre
Le Tigre,Get Off The Internet,From The Desk Of Mr. Lady
Le Tigre,My Art,Feminist Sweepstakes
Le Tigre,My My Metrocard,Le Tigre
Le Tigre,Phanta,Le Tigre
Le Tigre,Tres Bien,Feminist Sweepstakes
Le Tigre,What's Yr Take On Cassavetes?,Le Tigre
Le Tigre,Hot Topic,Le Tigre
"Lekman, Jens",I'm Leaving You Because I Don't Love You,Night Falls Over Kortedala
"Lekman, Jens",The Opposite Of Hallelujah,Night Falls Over Kortedala
"Lekman, Jens",What's That Perfume That You Wear?,Life Will See You Now
Lemon Demon,Touch-Tone Telephone,Spirit Phone
"Lenderman, MJ",Wristwatch,Manning Fireworks
"Lenker, Adrianne",Sadness As A Gift,Bright Future
"Leo, Ted & the Pharmacists",A Bottle Of Buckie,Living With The Living
"Leo, Ted & the Pharmacists",Ballad Of The Sin Eater,Hearts Of Oak
"Leo, Ted & the Pharmacists",Biomusicology,The Tyranny Of Distance
"Leo, Ted & the Pharmacists",Me And Mia,Shake The Sheets
"Leo, Ted & the Pharmacists",Shake The Sheets,Shake The Sheets
"Leo, Ted & the Pharmacists",The Great Communicator,The Tyranny Of Distance
"Leo, Ted & the Pharmacists",Where Have All The Rude Boys Gone?,Hearts Of Oak
Les Savy Fav,Adopduction,Go Forth
Les Savy Fav,Hide Me From Next February,Rome (Written Upside Down)
Les Savy Fav,IC Timer,Rome (Written Upside Down)
Les Savy Fav,Let's Get Out Of Here,Root For Ruin
Les Savy Fav,Rodeo,Inches
Les Savy Fav,The Sweat Descends,Inches
Less Than Jake,Johnny Quest Thinks We're Sellouts,Pezcore
"Lewis, Jenny",The Big Guns,Rabbit Fur Coat
Liars,Mr Your On Fire Mr,They Threw Us All In A Trench And Stuck A Monument On Top
Liars,We Live NE Of Compton,They Threw Us All In A Trench And Stuck A Monument On Top
Lifetime,Turnpike Gates,Jersey's Best Dancers
Lifetime,"Young, Loud, And Scotty",Jersey's Best Dancers
Lifter Puller,Space Humping $19.99,Fiestas + Fiascos
Lillingtons,You're The Only One,Death By Television
Liquid Liquid,Push,Slip In And Out Of Phenomenon
Long Blondes,Once And Never Again,Someone To Drive You Home
Los Campesinos,By Your Hand,Hello Sadness
Los Campesinos,The Sea Is A Good Place To Think Of The Future,Romance Is Boring
Los Campesinos,You! Me! Dancing!,"Hold On Now, Youngster…"
Los Campesinos!,Romance Is Boring,Romance Is Boring
Lost Sounds,And You Dance?,Lost Sounds
Love,A House Is Not A Motel,Forever Changes
Love,Alone Again Or,Forever Changes
Low,Just Make It Stop,The Invisible Way
Lunachicks,Babysitters On Acid,Babysitters On Acid
Lunachicks,C.I.L.L.,Binge & Purge
Lunachicks,Less Teeth More Tits,Luxury Problem
Lunachicks,Spoilt,Jerk Of All Trades
Lush,For Love,Spooky
Lush,Ladykillers,Lovelife
Lush,Light From A Dead Star,Split
"Lynch, David",In Heaven (Lady In The Radiator Song),Eraserhead
Magazine,Shot By Both Sides,Real Life
Magnetic Fields,(Crazy For You But) Not That Crazy,69 Love Songs
Magnetic Fields,"100,000 Fireflies",Distant Plastic Trees
Magnetic Fields,A Chicken With Its Head Cut Off,69 Love Songs
Magnetic Fields,A Pretty Girl Is Like...,69 Love Songs
Magnetic Fields,"Abigail, Belle Of Kilronan",69 Love Songs
Magnetic Fields,Absolutely Cuckoo,69 Love Songs
Magnetic Fields,Acoustic Guitar,69 Love Songs
Magnetic Fields,All My Little Words,69 Love Songs
Magnetic Fields,All The Umbrellas In London,Get Lost
Magnetic Fields,Andrew In Drag,Love At The Bottom Of The Sea
Magnetic Fields,Asleep And Dreaming,69 Love Songs
Magnetic Fields,Bitter Tears,69 Love Songs
Magnetic Fields,Blue You,69 Love Songs
Magnetic Fields,Boa Constrictor,69 Love Songs
Magnetic Fields,Busby Berkely Dreams,69 Love Songs
Magnetic Fields,Come Back From San Francisco,69 Love Songs
Magnetic Fields,Epitaph For My Heart,69 Love Songs
Magnetic Fields,Experimental Music Love,69 Love Songs
Magnetic Fields,"Fido, Your Leash Is Too Long",69 Love Songs
Magnetic Fields,For We Are The King Of The Boudoir,69 Love Songs
Magnetic Fields,Grand Canyon,69 Love Songs
Magnetic Fields,How Fucking Romantic,69 Love Songs
Magnetic Fields,How To Say Goodbye,69 Love Songs
Magnetic Fields,I Can't Touch You Anymore,69 Love Songs
Magnetic Fields,I Don't Believe In The Sun,69 Love Songs
Magnetic Fields,I Don't Want To Get Over You,69 Love Songs
Magnetic Fields,I Shatter,69 Love Songs
Magnetic Fields,I Think I Need A New Heart,69 Love Songs
Magnetic Fields,I'm Sorry I Love You,69 Love Songs
Magnetic Fields,If You Don't Cry,69 Love Songs
Magnetic Fields,It's A Crime,69 Love Songs
Magnetic Fields,Kiss Me Like You Mean It,69 Love Songs
Magnetic Fields,Let's Pretend We're Bunny Rabbits,69 Love Songs
Magnetic Fields,Long-Forgotten Fairytale,69 Love Songs
Magnetic Fields,Love In The Shadows,69 Love Songs
Magnetic Fields,Love Is Like A Bottle Of Gin,69 Love Songs
Magnetic Fields,Love Is Like Jazz,69 Love Songs
Magnetic Fields,Meaningless,69 Love Songs
Magnetic Fields,My Only Friend,69 Love Songs
Magnetic Fields,My Sentimental Melody,69 Love Songs
Magnetic Fields,No One Will Ever Love You,69 Love Songs
Magnetic Fields,Nothing Matters When We're Dancing,69 Love Songs
Magnetic Fields,Papa Was A Rodeo,69 Love Songs
Magnetic Fields,Parades Go By,69 Love Songs
Magnetic Fields,Promises Of Eternity,69 Love Songs
Magnetic Fields,Punk Love,69 Love Songs
Magnetic Fields,Queen Of The Savages,69 Love Songs
Magnetic Fields,Reno Dakota,69 Love Songs
Magnetic Fields,Roses,69 Love Songs
Magnetic Fields,Strange Eyes,69 Love Songs
Magnetic Fields,Strange Powers,Holiday
Magnetic Fields,Sweet-Lovin' Man,69 Love Songs
Magnetic Fields,The Book Of Love,69 Love Songs
Magnetic Fields,The Cactus Where Your Heart Should Be,69 Love Songs
Magnetic Fields,The Death Of Ferdinand De Saussure,69 Love Songs
Magnetic Fields,The Luckiest Guy On The Lower East Side,69 Love Songs
Magnetic Fields,The Night You Can't Remember,69 Love Songs
Magnetic Fields,The One You Really Love,69 Love Songs
Magnetic Fields,The Saddest Story Ever Told,The Wayward Bus
Magnetic Fields,The Sun Goes Down And The World Goes Dancing,69 Love Songs
Magnetic Fields,The Things We Did And Didn't Do,69 Love Songs
Magnetic Fields,The Way You Say Good-Night,69 Love Songs
Magnetic Fields,Time Enough For Rocking When We're Old,69 Love Songs
Magnetic Fields,Two Kinds Of People,69 Love Songs
Magnetic Fields,Underwear,69 Love Songs
Magnetic Fields,Very Funny,69 Love Songs
Magnetic Fields,"Washington, D.C.",69 Love Songs
Magnetic Fields,When My Boy Walks Down The Street,69 Love Songs
Magnetic Fields,Wi' Nae Wee Bairn Ye'll Me Beget,69 Love Songs
Magnetic Fields,World Love,69 Love Songs
Magnetic Fields,Xylophone Track,69 Love Songs
Magnetic Fields,"Yeah! Oh, Yeah!",69 Love Songs
Magnetic Fields,You And Me And The Moon,Get Lost
Magnetic Fields,You're My Only Home,69 Love Songs
Magnetic Fields,Zebra,69 Love Songs
Magnolia Electric Co.,The Dark Don't Hide It,What Comes After The Blues
Man Man,Head On (Hold On To Your Heart),On Oni Pond
Man Man,Loot My Body,On Oni Pond
Mannequin Pussy,Drunk II,Patience
Mannequin Pussy,I Got Heaven,I Got Heaven
Marked Men,A Little Time,Fix My Brain
Marked Men,Fix My Brain,Fix My Brain
Mars Volta,Televators,De-Loused In The Comatorium
Mars Volta,The Widow,Frances The Mute
Material Issue,Valerie Loves Me,International Pop Overthrow
Mazzy Star,Fade Into You,So Tonight That I Might See
Mazzy Star,Halah,She Hangs Brightly
"McDowall, Rose",Tibet,Cut With The Cake Knife
McLusky,Alan Is A Cowboy Killer,Do Dallas
Mclusky,Lightsabre Cocksucking Blues,Mclusky Do Dallas
McLusky,To Hell With Good Intentions,Do Dallas
Me First & The Gimme Gimmes,Sloop John B (by The Beach Boys),Blow In The Wind
Me First & The Gimme Gimmes,Straight Up (by Paula Abdul),Are We Not Men? We Are Diva!
Meat Puppets,Lake Of Fire,Meat Puppets II
Meat Puppets,Plateau,Meat Puppets II
Meat Puppets,Split Myself In Two,Meat Puppets II
Mekons,Last Night On Earth,Journey To The End Of The Night
Mekons,Where Were You?,Heaven & Hell
Melt-Banana,Candy Gun,Fetch
"Men, The",Another Night,Tomorrow's Hits
Menzingers,I Don't Wanna Be An Asshole Anymore,Rented World
Mercury Rev,Goddess On A Highway,Deserter's Songs
Metric,Black Sheep,Black Sheep
Metric,Combat Baby,"Old World Underground, Where Are You Now?"
Metric,Gold Guns Girls,Fantasies
Metric,Help I'm Alive,Fantasies
Metric,I.O.U.,"Old World Underground, Where Are You Now?"
Metric,Now Or Never Now,Art Of Doubt
Metric,Patriarch On A Vespa,Live It Out
Metric,The List,"Old World Underground, Where Are You Now?"
Metz,Headache,Metz
Mew,The Zookeeper's Boy,...And The Glass-Handed Kites
Mighty Mighty Bosstones,Someday I Suppose,Don't Know How To Party
Mineral,Gloria,The Power Of Failing
Mineral,Parking Lot,The Power Of Failing
Ministry,Everyday Is Halloween,Twelve Inch Singles
Minor Threat,12XU (by Wire),Complete Discography
Minor Threat,Filler,Complete Discography
Minor Threat,Good Guys Don't Wear White (by The Standells),Complete Discography
Minor Threat,I Don't Wanna Hear It,Discography
Minor Threat,Minor Threat,Complete Discography
Minor Threat,Out Of Step,Complete Discography
Minor Threat,"Small Man, Big Mouth",Complete Discography
Minor Threat,Straight Edge,Complete Discography
Minutemen,#1 Hit Song,Double Nickels On The Dime
Minutemen,Corona,Double Nickels On The Dime
Minutemen,Cut,Buzz Or Howl Under The Influence Of Heat
Minutemen,D.'s Car Jam / Anxious Mo-Fo,Double Nickels On The Dime
Minutemen,Definitions,Paranoid Time
Minutemen,Dr. Wu (by Steely Dan),Double Nickels On The Dime
Minutemen,History Lesson - Part II,Double Nickels On The Dime
Minutemen,I Felt Like A Gringo,Buzz Or Howl Under The Influence Of Heat
Minutemen,If Reagan Played Disco,Bean Spill
Minutemen,It's Expected I'm Gone,Double Nickels On The Dime
Minutemen,Jesus & Tequila,Double Nickels On The Dime
Minutemen,Little Man With A Gun In His Hand,Buzz Or Howl Under The Influence Of Heat
Minutemen,Maybe Partying Will Help,Double Nickels On The Dime
Minutemen,My Heart And The Real World,Double Nickels On The Dime
Minutemen,One Reporter's Opinion,Double Nickels On The Dime
Minutemen,Paranoid Chant,Paranoid Time
Minutemen,Political Song For Michael Jackson To Sing,Double Nickels On The Dime
Minutemen,Shit From An Old Notebook,Double Nickels On The Dime
Minutemen,The Glory Of Man,Double Nickels On The Dime
Minutemen,The Politics Of Time,Double Nickels On The Dime
Minutemen,The World According To Nouns,Double Nickels On The Dime
Minutemen,This Ain't No Picnic,Double Nickels On The Dime
Minutemen,Toadies,Double Nickels On The Dime
Minutemen,Viet Nam,Double Nickels On The Dime
Minutemen,West Germany,Double Nickels On The Dime
Minutes,Raise Our Fists Up,Roland
Miracle Of 86,Every Famous Last Word,Every Famous Last Word
Mirah,Gone Sugaring,You Think It's Like This But Really It's Like This
Mirah,Jerusalem,C'mon Miracle
Misfits,Angelfuck,Static Age
Misfits,Astro Zombies,Misfits
Misfits,Attitude,Static Age
Misfits,Halloween,Collection II
Misfits,Hatebreeders,Collection II
Misfits,Hybrid Moments,Static Age
Misfits,I Turned Into A Martian,Collection
Misfits,Last Caress,Static Age
Misfits,Mommy Can I Go Out And Kill Tonight,Misfits
Misfits,She,Misfits
Misfits,Skulls,Box Set
Misfits,We Are 138,Collection II
Misfits,Where Eagles Dare,Box Set
Miss Eaves,Thunder Thighs,Feminasty
Mission Of Burma,Academy Fight Song,Mission Of Burma
Mission Of Burma,That's When I Reach For My Revolver,Mission Of Burma
Mission Of Burma,This Is Not A Photograph,"Signals, Calls, And Marches"
Mission Of Burma,Wounded World,ONoffON
Mitski,A Pearl,Be The Cowboy
Mitski,I Bet On Losing Dogs,Puberty 2
Mitski,i will,Bury Me At Makeout Creek
Mitski,Lonesome Love,Be The Cowboy
Mitski,Nobody,Be The Cowboy
Mitski,Strawberry Blond,"Retired From Sad, New Career In Business"
Mitski,Washing Machine Heart,Be The Cowboy
Modern Baseball,"Fine, Great",You're Gonna Miss It All
Modern Lovers,Government Center,The Modern Lovers
Modern Lovers,Pablo Picasso,The Modern Lovers
Modern Lovers,Roadrunner,The Modern Lovers
Modern Lovers,She Cracked,The Modern Lovers
Modest Mouse,3rd Planet,The Moon & Antarctica
Modest Mouse,All Nite Diner,Interstate 8
Modest Mouse,Baby Blue Sedan,Building Nothing Out Of Something
Modest Mouse,Bankrupt On Selling,The Lonesome Crowded West
Modest Mouse,Breakthrough,This Is A Long Drive For Someone With Nothing To Think About
Modest Mouse,Cowboy Dan,The Lonesome Crowded West
Modest Mouse,Dark Center Of The Universe,Night On The Sun
Modest Mouse,Doin' The Cockroach,The Lonesome Crowded West
Modest Mouse,Dramamine,This Is A Long Drive For Someone With Nothing To Think About
Modest Mouse,Never Ending Math Equation,Building Nothing Out Of Something
Modest Mouse,Polar Opposites,The Lonesome Crowded West
Modest Mouse,Teeth Like God's Shoeshine,The Lonesome Crowded West
Modest Mouse,Tiny Cities Made Of Ashes,The Moon & Antarctica
Modest Mouse,Trailer Trash,The Lonesome Crowded West
Modest Mouse,You're The Good Things (It's Alright To Die),Night On The Sun
Mogwai,R U Still In 2 It?,Young Team
Moldy Peaches,Lucky Number Nine,The Moldy Peaches
Morphine,Cure For Pain,Cure For Pain
Morrissey,First Of The Gang To Die,You Are The Quarry
Morrissey,We Hate It When Our Friends Become Successful,Your Arsenal
Motherfucker,I'm Fucking Dick Dale,Confetti
Motion City Soundtrack,Everything Is Alright,Commit This To Memory
Mountain Goats,Against Pollution,We Shall All Be Healed
Mountain Goats,Alibi,Babylon Springs
Mountain Goats,Cotton,We Shall All Be Healed
Mountain Goats,Cry For Judas,Transcendental Youth
Mountain Goats,Dance Music,The Sunset Tree
Mountain Goats,Estate Sale Sign,All Eternals Deck
Mountain Goats,Foreign Object,Beat The Champ
Mountain Goats,Game Shows Touch Our Lives,Tallahassee
Mountain Goats,Heretic Pride,Heretic Pride
Mountain Goats,Letter From Belgium,We Shall All Be Healed
Mountain Goats,Lovecraft In Brooklyn,Heretic Pride
Mountain Goats,No Children,Tallahassee
Mountain Goats,Oceanographer's Choice,Tallahassee
Mountain Goats,Palmcorder Yajna,We Shall All Be Healed
Mountain Goats,"Pigs That Ran Straightaway Into The Water, Triumph Of",We Shall All Be Healed
Mountain Goats,Quito,We Shall All Be Healed
Mountain Goats,See America Right,Tallahassee
Mountain Goats,The Best Ever Death Metal Band In Denton,All Hail West Texas
Mountain Goats,The Young Thousands,We Shall All Be Healed
Mountain Goats,This Year,The Sunset Tree
Mountain Goats,"Wage Wars, Get Rich, Die Handsome",Bleed Out
Movements,Daylily,Feel Something
Mr. T Experience,Ba Ba Ba Ba Ba,Love Is Dead
Mr. T Experience,I Love You But You're Standing On My Foot,Milk Milk Lemonade
Mr. T Experience,Sackcloth And Ashes,Love Is Dead
Mudhoney,Pump It Up (by Elvis Costello),Freedom Of Choice comp.
